Boris Christoff	Q362106	1914	Q6581097
Plácido Domingo	Q130853	1941	Q6581097
Jenny Lind	Q231345	1820	Q6581072
Birgit Nilsson	Q233951	1918	Q6581072
Luciano Pavarotti	Q37615	1935	Q6581097
Leontyne Price	Q233718	1927	Q6581072
Renata Scotto	Q240890	1933	Q6581072
Beverly Sills	Q235517	1929	Q6581072
Ravi Shankar	Q103774	1920	Q6581097
Yo-Yo Ma	Q234891	1955	Q6581097
Niccolò Paganini	Q66075	1782	Q6581097
John Lee Hooker	Q44570	1917	Q6581097
B.B. King	Q188969	1925	Q6581097
Stevie Ray Vaughan	Q202937	1954	Q6581097
Johnny Cash	Q42775	1932	Q6581097
Faith Hill	Q464241	1967	Q6581072
George Jones	Q508202	1931	Q6581097
Reba McEntire	Q229430	1955	Q6581072
Dolly Parton	Q180453	1946	Q6581072
Hank Williams	Q206181	1923	Q6581097
Vangelis	Q153172	1943	Q6581097
John Barry	Q111074	1933	Q6581097
Jerry Goldsmith	Q235077	1929	Q6581097
Joe Hisaishi	Q275900	1950	Q6581097
Henry Mancini	Q185928	1924	Q6581097
Ennio Morricone	Q23848	1928	Q6581097
Richard Rodgers	Q269094	1902	Q6581097
Miklós Rózsa	Q319396	1907	Q6581097
Max Steiner	Q350704	1888	Q6581097
John Williams	Q131285	1932	Q6581097
Bob Dylan	Q392	1941	Q6581097
Joni Mitchell	Q205721	1943	Q6581072
Eminem	Q5608	1972	Q6581097
Dr. Dre	Q6078	1965	Q6581097
Tupac Shakur	Q6107	1971	Q6581097
Louis Armstrong	Q1779	1901	Q6581097
Miles Davis	Q93341	1926	Q6581097
Antônio Carlos Jobim	Q200131	1927	Q6581097
Glenn Miller	Q103651	1904	Q6581097
Irving Berlin	Q128746	1888	Q6581097
Jerome Kern	Q313270	1885	Q6581097
Cole Porter	Q215120	1891	Q6581097
Andrew Lloyd Webber	Q180975	1948	Q6581097
Mariah Carey	Q41076	1969	Q6581072
Cher	Q12003	1946	Q6581072
Bing Crosby	Q72984	1903	Q6581097
Celine Dion	Q5105	1968	Q6581072
Michael Jackson	Q2831	1958	Q6581097
Elton John	Q2808	1947	Q6581097
Madonna	Q1744	1958	Q6581072
Dean Martin	Q215359	1917	Q6581097
Frank Sinatra	Q40912	1915	Q6581097
Barbra Streisand	Q4636	1942	Q6581072
Bob Marley	Q409	1945	Q6581097
John Lennon	Q1203	1940	Q6581097
Paul McCartney	Q2599	1942	Q6581097
Chuck Berry	Q5921	1926	Q6581097
Ozzy Osbourne	Q133151	1948	Q6581097
David Bowie	Q5383	1947	Q6581097
Eric Clapton	Q48187	1945	Q6581097
Joe Cocker	Q190076	1944	Q6581097
Phil Collins	Q144622	1951	Q6581097
Alice Cooper	Q332032	1948	Q6581097
David Coverdale	Q115962	1951	Q6581097
Jon Lord	Q192114	1941	Q6581097
Bruce Dickinson	Q190151	1958	Q6581097
Ronnie James Dio	Q185151	1942	Q6581097
Peter Gabriel	Q175195	1950	Q6581097
Jimi Hendrix	Q5928	1942	Q6581097
Janis Joplin	Q1514	1943	Q6581072
Gary Moore	Q185147	1952	Q6581097
Alan Parsons	Q212089	1948	Q6581097
Roger Waters	Q180861	1943	Q6581097
Elvis Presley	Q303	1935	Q6581097
Freddie Mercury	Q15869	1946	Q6581097
Linda Ronstadt	Q229375	1946	Q6581072
Bruce Springsteen	Q1225	1949	Q6581097
Keith Richards	Q189599	1943	Q6581097
Mick Jagger	Q128121	1943	Q6581097
Tina Turner	Q131814	1939	Q6581072
Frank Zappa	Q127330	1940	Q6581097
James Brown	Q5950	1933	Q6581097
Ray Charles	Q544387	1930	Q6581097
Aretha Franklin	Q125121	1942	Q6581072
Stevie Wonder	Q714	1950	Q6581097
Édith Piaf	Q1631	1915	Q6581072
Umm Kulthum	Q1110560	1898	Q6581072
Lata Mangeshkar	Q156347	1929	Q6581072
Alla Pugacheva	Q80510	1949	Q6581072
Mohammed Rafi	Q156815	1924	Q6581097
Vladimir Vysotsky	Q512	1938	Q6581097
Zhou Xuan	Q1207860	1918	Q6581072
Billy the Kid	Q44200	1859	Q6581097
Jack the Ripper	Q43963		Q6581097
Al Capone	Q80048	1899	Q6581097
Pablo Escobar	Q187447	1949	Q6581097
Akira Kurosawa	Q8006	1910	Q6581097
Ang Lee	Q160726	1954	Q6581097
Raj Kapoor	Q55407	1924	Q6581097
Satyajit Ray	Q8873	1921	Q6581097
Takeshi Kitano	Q26372	1947	Q6581097
Hayao Miyazaki	Q55400	1941	Q6581097
Yasujirō Ozu	Q55402	1903	Q6581097
Zhang Yimou	Q55430	1950	Q6581097
